number,card1,text1,card2,text2,card3,text3,card4,text4,card5,text5,question,correctChoice,mathcodeCorrect,altChoice1,mathcodeAlt1,altChoice2,mathcodeAlt2,altChoice3,mathcodeAlt3,,,,,,ansExpln
1,a-diamond.png,Ace of diamonds,a-diamond.png,Ace of diamonds,5-spade.png,5 of spades,10-club.png,10 of clubs,j-club.png,Jack of clubs,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 1 pair, we want 2 cards of the same face and any suit. From the 13 faces,  choose 1 for the pair: \(\binom{13}{1}\). From the 4 suits,  choose any 2 suits for the pair: \(\binom{4}{2}\). The remaining 3 cards can be any face, except for the face appearing in the pair. From the 12 remaining faces,  choose 3: \(\binom{12}{3}\). The remaining 3 cards can be any suit, regardless of whether it was used in the pair: \(\binom{4}{1}^3\). "
2,7-spade.png,7 of spades,7-spade.png,7 of spades,8-club.png,8 of clubs,9-heart.png,9 of hearts,10-diamond.png,10 of diamonds,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 1 pair, we want 2 cards of the same face and any suit. From the 13 faces,  choose 1 for the pair: \(\binom{13}{1}\). From the 4 suits,  choose any 2 suits for the pair: \(\binom{4}{2}\). The remaining 3 cards can be any face, except for the face appearing in the pair. From the 12 remaining faces,  choose 3: \(\binom{12}{3}\). The remaining 3 cards can be any suit, regardless of whether it was used in the pair: \(\binom{4}{1}^3\). "
3,10-heart.png,10 of hearts,10-heart.png,10 of hearts,q-heart.png,Queen of hearts,5-spade.png,5 of spades,7-club.png,7 of clubs,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 1 pair, we want 2 cards of the same face and any suit. From the 13 faces,  choose 1 for the pair: \(\binom{13}{1}\). From the 4 suits,  choose any 2 suits for the pair: \(\binom{4}{2}\). The remaining 3 cards can be any face, except for the face appearing in the pair. From the 12 remaining faces,  choose 3: \(\binom{12}{3}\). The remaining 3 cards can be any suit, regardless of whether it was used in the pair: \(\binom{4}{1}^3\). "
4,4-spade.png,4 of spades,4-spade.png,4 of spades,6-diamond.png,6 of diamonds,6-diamond.png,6 of diamonds,q-heart.png,Queen of hearts,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 2 pair, we want 2 cards of the same face, any suit and another 2 cards of their own same face, any suit. From the 13 faces,  choose 2 for the pairs: \(\binom{13}{2}\). From the 4 suits, choose 2 for each pair: \(\binom{4}{2}^2\). The remaining card can be any face, except for the 2 faces appearing in the 2 pairs: \(\binom{11}{1}\). The remaining card can be any suit, regardless of whether it was used in either of the 2 paris: (\binom{4}{1}\). "
4,j-heart.png,Jack of hearts,j-heart.png,Jack of hearts,k-spade.png,King of spades,k-spade.png,King of spades,4-club.png,4 of clubs,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 2 pair, we want 2 cards of the same face, any suit and another 2 cards of their own same face, any suit. From the 13 faces,  choose 2 for the pairs: \(\binom{13}{2}\). From the 4 suits, choose 2 for each pair: \(\binom{4}{2}^2\). The remaining card can be any face, except for the 2 faces appearing in the 2 pairs: \(\binom{11}{1}\). The remaining card can be any suit, regardless of whether it was used in either of the 2 paris: (\binom{4}{1}\). "
5,2-heart.png,2 of hearts,2-heart.png,2 of hearts,7-club.png,7 of clubs,7-club.png,7 of clubs,k-heart.png,King of hearts,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\),,,,,,"For a 2 pair, we want 2 cards of the same face, any suit and another 2 cards of their own same face, any suit. From the 13 faces,  choose 2 for the pairs: \(\binom{13}{2}\). From the 4 suits, choose 2 for each pair: \(\binom{4}{2}^2\). The remaining card can be any face, except for the 2 faces appearing in the 2 pairs: \(\binom{11}{1}\). The remaining card can be any suit, regardless of whether it was used in either of the 2 paris: (\binom{4}{1}\). "
6,k-heart.png,King of hearts,k-heart.png,King of hearts,k-heart.png,King of hearts,j-spade.png,Jack of spades,q-club.png,Queen of hearts,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\),,,,,,"For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards can be any face, except for the face appearing in the 3 of a kind: \(binom{12}{2}\). The remaining cards can be any suit, regardless of whether it was used in the 3 of a kind: \(\binom{4}{1}^2\). "
7,3-spade.png,3 of spades,3-spade.png,3 of spades,3-spade.png,3 of spades,6-heart.png,6 of hearts,a-diamond.png,Ace of diamonds,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\),,,,,,"For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards can be any face, except for the face appearing in the 3 of a kind: \(binom{12}{2}\). The remaining cards can be any suit, regardless of whether it was used in the 3 of a kind: \(\binom{4}{1}^2\). "
8,a-heart.png,Ace of hearts,a-heart.png,Ace of hearts,a-heart.png,Ace of hearts,2-spade.png,2 of spades,3-club.png,3 of clubs,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\),,,,,,"For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards can be any face, except for the face appearing in the 3 of a kind: \(binom{12}{2}\). The remaining cards can be any suit, regardless of whether it was used in the 3 of a kind: \(\binom{4}{1}^2\). "
9,j-spade.png,Jack of spades,10-heart.png,10 of hearts,9-club.png,9 of clubs,8-spade.png,8 of spades,7-diamond.png,7 of diamonds,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a straight, we want all 5 cards to be of sequential faces and any suit. However, king, queen, and jack are not included in a straight as they are in their own special type of hand called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose 1 for each card: \(\binom{4}{1}^5\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\binom{10}{1}\binom{4}{1}\). "
10,5-heart.png,5 of hearts,4-diamond.png,4 of diamonds,3-spade.png,3 of spades,2-diamond.png,2 of diamonds,a-club.png,Ace of clubs,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a straight, we want all 5 cards to be of sequential faces and any suit. However, king, queen, and jack are not included in a straight as they are in their own special type of hand called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose 1 for each card: \(\binom{4}{1}^5\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\binom{10}{1}\binom{4}{1}\). "
11,10-spade.png,10 of spades,9-diamond.png,9 of diamonds,8-heart.png,8 of hearts,7-club.png,7 of clubs,6-spade.png,6 of spades,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a straight, we want all 5 cards to be of sequential faces and any suit. However, king, queen, and jack are not included in a straight as they are in their own special type of hand called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose 1 for each card: \(\binom{4}{1}^5\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\binom{10}{1}\binom{4}{1}\). "
12,k-club.png,King of clubs,10-club.png,10 of clubs,4-club.png,4 of clubs,2-club.png,2 of clubs,a-club.png,Ace of clubs,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a flush, we want all 5 cards to be of the same suit and any face. Additionally, we cannot include the special type of flush called a straight flush. From the 13 faces, choose 5 for the flush: \(\binom{13}{5}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\-binom{10}{1}\binom{4}{1}\). "
13,q-heart.png,Queen of hearts,j-heart.png,Jack of hearts,4-heart.png,4 of hearts,3-heart.png,3 of hearts,2-heart.png,2 of hearts,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a flush, we want all 5 cards to be of the same suit and any face. Additionally, we cannot include the special type of flush called a straight flush. From the 13 faces, choose 5 for the flush: \(\binom{13}{5}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\-binom{10}{1}\binom{4}{1}\). Z17"
14,7-spade.png,7 of spades,6-spade.png,6 of spades,5-spade.png,5 of spades,4-spade.png,4 of spades,a-spade.png,Ace of spades,How many ways can you get a flush?,flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),wrongChoice10,\(\binom{13}{1}^5\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),,,,,,"For a flush, we want all 5 cards to be of the same suit and any face. Additionally, we cannot include the special type of flush called a straight flush. From the 13 faces, choose 5 for the flush: \(\binom{13}{5}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a straight flush: \(\-binom{10}{1}\binom{4}{1}\). "
15,q-diamond.png,Queen of diamonds,q-heart.png,Queen of hearts,q-club.png,Queen of clubs,j-spade.png,Jack of spades,j-diamond.png,Jack of diamonds,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\),,,,,,"For a full house, we want a 3 of a kind and 1 pair. For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards must be a pair. For the 1 pair, we want 2 cards of any suit and any face, except for the face appearing in the 3 of a kind. From the 12 faces,  choose 1 for the pair: \(\binom{12}{1}\). From the 4 suits, choose any 2 suits for the pair: \(\binom{4}{2}\). "
16,4-diamond.png,4 of diamonds,4-heart.png,4 of hearts,4-spade.png,4 of spades,a-club.png,Ace of clubs,a-heart.png,Ace of hearts,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\),,,,,,"For a full house, we want a 3 of a kind and 1 pair. For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards must be a pair. For the 1 pair, we want 2 cards of any suit and any face, except for the face appearing in the 3 of a kind. From the 12 faces,  choose 1 for the pair: \(\binom{12}{1}\). From the 4 suits, choose any 2 suits for the pair: \(\binom{4}{2}\). "
17,a-spade.png,Ace of spades,a-diamond.png,Ace of diamonds,a-club.png,Ace of clubs,5-spade.png,5 of spades,5-heart.png,5 of hearts,How many ways can you get a full house?,fullHouse,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{1}\binom{4}{2}\),wrongChoice11,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{2}\),wrongChoice12,\(\binom{13}{3}\binom{4}{1}^3\times\binom{12}{1}\binom{4}{1}^2\),wrongChoice13,\(\binom{13}{3}\binom{4}{1}\times\binom{12}{1}\binom{4}{2}\),,,,,,"For a full house, we want a 3 of a kind and 1 pair. For a 3 of a kind, we want 3 cards of the same face and any suit. From the 13 faces, choose 1 for the 3 of a kind: \(\binom{13}{1}\). From the 4 faces, choose any 3 for the 3 of a kind: \(\binom{4}{3}\). The remaining 2 cards must be a pair. For the 1 pair, we want 2 cards of any suit and any face, except for the face appearing in the 3 of a kind. From the 12 faces,  choose 1 for the pair: \(\binom{12}{1}\). From the 4 suits, choose any 2 suits for the pair: \(\binom{4}{2}\). "
18,4-club.png,4 of clubs,4-diamond.png,4 of diamonds,4-spade.png,4 of spades,4-heart.png,4 of hearts,9-spade.png,9 of spades,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),,,,,,"For a 4 of a kind, we want 4 cards to be of the same face and any suit. From the 13 faces, choose 1 for the 4 cards: \(\binom{13}{1}\). From the 4 suits, choose any 4 for all 4 cards: \(\binom{4}{4}\). The remaining card can be any suit and any face, exceot for the face appearing in the 4 of a kind. From the 12 faces, choose 1: \(\binom{12}{1}\). From the 4 suits, choose 1: \(\binom{4}{1}\). "
19,a-spade.png,Ace of spades,a-diamond.png,Ace of diamonds,a-club.png,Ace of clubs,a-heart.png,Ace of hearts,5-diamond.png,5 of diamonds,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),,,,,,"For a 4 of a kind, we want 4 cards to be of the same face and any suit. From the 13 faces, choose 1 for the 4 cards: \(\binom{13}{1}\). From the 4 suits, choose any 4 for all 4 cards: \(\binom{4}{4}\). The remaining card can be any suit and any face, exceot for the face appearing in the 4 of a kind. From the 12 faces, choose 1: \(\binom{12}{1}\). From the 4 suits, choose 1: \(\binom{4}{1}\). "
20,q-spade.png,Queen of spades,q-heart.png,Queen of hearts,q-diamond.png,9 of diamonds,q-club.png,Queen of clubs,j-heart.png,Jack of hearts,How many ways can you get a 4 of a kind?,fourKind,\(\binom{13}{1}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice14,\(\binom{13}{1}^4\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),wrongChoice15,\(\binom{13}{4}\binom{4}{1}^4\times\binom{12}{1}\binom{4}{1}\),wrongChoice16,\(\binom{13}{4}\binom{4}{4}\times\binom{12}{1}\binom{4}{1}\),,,,,,"For a 4 of a kind, we want 4 cards to be of the same face and any suit. From the 13 faces, choose 1 for the 4 cards: \(\binom{13}{1}\). From the 4 suits, choose any 4 for all 4 cards: \(\binom{4}{4}\). The remaining card can be any suit and any face, exceot for the face appearing in the 4 of a kind. From the 12 faces, choose 1: \(\binom{12}{1}\). From the 4 suits, choose 1: \(\binom{4}{1}\). "
21,j-heart.png,Jack of hearts,10-heart.png,10 of hearts,9-heart.png,9 of hearts,8-heart.png,8 of hearts,7-heart.png,7 of hearts,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),,,,,,"For a straight flush, we want all 5 cards to be of sequential faces and the same suit. Like the straight, king, queen, and jack are not included in a straight flush and are only included in a special type of straight flush called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a royal flush: \(\binom{4}{1}\). "
22,7-club.png,7 of clubs,6-club.png,6 of clubs,5-club.png,5 of clubs,4-club.png,4 of clubs,3-club.png,3 of clubs,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),,,,,,"For a straight flush, we want all 5 cards to be of sequential faces and the same suit. Like the straight, king, queen, and jack are not included in a straight flush and are only included in a special type of straight flush called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a royal flush: \(\binom{4}{1}\). "
23,5-diamond.png,5 of diamonds,4-diamond.png,4 of diamonds,3-diamond.png,3 of diamonds,2-diamond.png,2 of diamonds,a-diamond.png,Ace of diamonds,How many ways can you get a straight flush?,straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),,,,,,"For a straight flush, we want all 5 cards to be of sequential faces and the same suit. Like the straight, king, queen, and jack are not included in a straight flush and are only included in a special type of straight flush called a royal flush. Additionally, aces are included only as a low ace. From the 10 faces, choose 1: \(\binom{10}{1}\). From the 4 suits, choose only 1 for all 5 cards: \(\binom{4}{1}\). Finally, subtract out the number of ways you could be dealt a royal flush: \(\binom{4}{1}\). "
24,a-diamond.png,Ace of diamonds,k-diamond.png,King of diamonds,q-diamond.png,Queen of diamonds,j-diamond.png,Jack of diamonds,10-diamond.png,10 of diamonds,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\),,,,,,"For a royal flush, we want a straight flush with an ace as the high card. Within a single suit, there is only 1 possible way to be dealt these 5 faces. Since there are 4 suits, multiply this 1 possible way times 4. In other words, choose 1 card from a pool of 1 option for each of the 5 cards: \(\binom{1}{1}^5\). From the 4 suits, choose 1 suit for all 5 cards: \(\binom{4}{1}\). "
25,a-club.png,Ace of clubs,k-club.png,King of clubs,q-club.png,Queen of clubs,j-club.png,Jack of clubs,10-club.png,10 of clubs,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\),,,,,,"For a royal flush, we want a straight flush with an ace as the high card. Within a single suit, there is only 1 possible way to be dealt these 5 faces. Since there are 4 suits, multiply this 1 possible way times 4. In other words, choose 1 card from a pool of 1 option for each of the 5 cards: \(\binom{1}{1}^5\). From the 4 suits, choose 1 suit for all 5 cards: \(\binom{4}{1}\). "
26,a-heart.png,Ace of hearts,k-heart.png,King of hearts,q-heart.png,Queen of hearts,j-heart.png,Jack of hearts,10-heart.png,10 of hearts,How many ways can you get a royal flush?,royalFlush,\(\binom{1}{1}^5\times\binom{4}{1}\),wrongChoice1,\(\binom{10}{1}\times\binom{4}{1}\),straightFlush,\(\binom{10}{1}\binom{4}{1}-\binom{4}{1}\),wrongChoice2,\(\binom{10}{1}^5\times\binom{4}{1}\),,,,,,"For a royal flush, we want a straight flush with an ace as the high card. Within a single suit, there is only 1 possible way to be dealt these 5 faces. Since there are 4 suits, multiply this 1 possible way times 4. In other words, choose 1 card from a pool of 1 option for each of the 5 cards: \(\binom{1}{1}^5\). From the 4 suits, choose 1 suit for all 5 cards: \(\binom{4}{1}\). "